case,da5_2d,da5_3d,softavg_2d3d_tta,gated_v2b,gated_v2c,fusion_intersection_503_3d,fusion_union_v2_503_3d,fusion_union_v2_503_2d,fusion_union_v2_503_gated_v2c,fusion_union_v2_503_softavg_2d3d_tta,fusion_union_v2_503_gated_v2b
IOG18,0.542256882667642,0.685431355201046,0.700648107072915,0.700648107072915,0.709309125636445,0.724936115314958,0.708257742091648,0.548426050893116,0.696188252058265,0.604919239917571,0.604919239917571
IOG19,0.427678183501143,0.785924676141726,0.814403964187173,0.814403964187173,0.807510407521735,0.950694435071333,0.957472911769764,0.959587097950301,0.963945827232797,0.963912750065769,0.963912750065769
IOG2,0.895636620772846,0.929317501689352,0.953031274757611,0.953031274757611,0.951572208623611,0.420813437840976,0.660924465086694,0.930619796484736,0.942353048724746,0.946704892123351,0.946704892123351
IOG20,0.783686362420553,0.530776779357719,0.851411469708,0.851411469708,0.858891708853029,0.726947422230909,0.793224568398497,0.810530626871784,0.799600771841107,0.799531628389706,0.799531628389706
IOG21,0.867503910343047,0.890997676336107,0.883020135252721,0.883020135252721,0.881763159503576,0.831530236745266,0.885721286194024,0.871498031951841,0.887015807718309,0.886708296164139,0.886708296164139
IOG22,0.934061457152971,0.925073977798486,0.953298847445322,0.953298847445322,0.951826185781265,0.947120305327138,0.952023353711421,0.937893555388666,0.944874083300182,0.945601600933878,0.945601600933878
IOG24,0.571029185867896,0.378815080789946,0.855952951866529,0.855952951866529,0.860713028611656,0.65149088101901,0.570602533633957,0.624380342714392,0.627214341819526,0.632865582788228,0.632865582788228
IOG26,0.550146532074243,0.764261744966443,0.850348927371414,0.850348927371414,0.844455985458323,,0.747524752475248,0.650870239531277,0.663513513513514,0.774968394437421,0.774968394437421
IOG27,0.927715286741656,0.91645479280967,0.935297772255259,0.935297772255259,0.933209318805917,0.874131761734372,0.908299706390181,0.958578863607037,0.95983379501385,0.958425456279534,0.958425456279534
IOG28,0.00164622799064752,0.0734539683249321,0.662766575387935,0.810354810574689,0.790988287461089,0,0.465888158310501,0.766248030870175,0.766248030870175,0.0864434245846683,0.766248030870175
IOG29,0.549074397485155,0,0.575051405071967,0.863301787592008,0.863301787592008,0.7946505608283,0.719596723377442,0,0.697473813924831,0,0.697473813924831
IOG31,0.0737923566542535,0.066355257121408,0.08497006616952,0.74615534358575,0.74615534358575,0,0,0.662033611102174,0.00437889721852449,0.0852121062790029,0.0852121062790029
IOG33,0.927954820492134,0.867483747202387,0.889585030177725,0.889585030177725,0.848324037472248,0.944016894430118,0.954277684196812,0.836223692897284,0.956018839815303,0.960006687223688,0.960006687223688
IOG35,0.0763688760806916,0,0.739380946000268,0.739380946000268,0.801724137931034,0.053524026220272,0.217442049834428,0.694951468164337,0.819431051108968,0.844671134570903,0.399443492087153
IOG36,0,0.785614719821578,0.221576074056492,0.771888368303117,0.771888368303117,0.908958596652495,0.89065606361829,0.351562834053106,0.6237449262978,0.740348692403487,0.571087435709038
IOG38,0.108934337997847,0,0,0.232465923172243,0.232465923172243,0,0.481525829627095,0.834393778720396,0.846684350132626,0.931371669507491,0.931371669507491
IOG39,0.958581306086422,0.919165138253662,0.941498876826016,0.941498876826016,0.942409047068342,0.945995351256927,0.938091162464064,0.927379474337661,0.943575645979754,0.943647115783649,0.943647115783649
IOG4,0,0.609241176149692,0.752470272986099,0.752470272986099,0.67411489393825,0.682123373898447,0.825847229693384,0.954505756252481,0.957821011673152,0.92361786489115,0.92361786489115
IOG40,0,0,0,0,0,0.294374658656472,0.0871946082561078,0.958188908145581,0.958188908145581,0.77203893996755,0.958188908145581
IOG41,0.908973767518811,0.897892824125729,0.916436474989345,0.916436474989345,0.918179529937388,0.877638090903919,0.918134520605278,0.967076472792314,0.961544496269987,0.960617782662689,0.960617782662689
IOG42,0.878285196422239,0.87677482792527,0.926547970878685,0.926547970878685,0.926291436214438,0.904776969313508,0.62157160613175,0.956612949365882,0.950648007498142,0.912614892766751,0.912614892766751
IOG43,0,0.586206896551724,0.851043643263757,0.851043643263757,0.862969449309204,0.587862742044334,0.871704285246974,0.662549763330303,0.856271627779491,0.80406015037594,0.80406015037594
IOG44,0.681391830559758,0.720811382062526,0.697414623789381,0.697414623789381,0.697868411417292,0.658254001048934,0.709657816005984,0.644563942910282,0.660115286699819,0.675582738345233,0.675582738345233
IOG45,0,0,0,0,0,0.648421052631579,0,0,0,0,0
