case,dataset,spacing_z,spacing_y,spacing_x,img_min,img_max,img_p001,img_p005,img_p010,img_p050,img_p500,img_p950,img_p990,img_p995,img_p999,tumor_vox,slices_with_tumor,tumor_mean,tumor_std,tumor_p005,tumor_p500,tumor_p995,shell_mean_bg,shell_std_bg,snr_shell,brain_mean_bg,brain_std_bg,snr_brain,raw_mean_bg,raw_std_bg,snr_raw
IOG24,raw_T1,0.8258928656578064,0.8258928656578064,4.400000095367432,0.0,3245.0,0.0,0.0,0.0,6.0,91.0,722.0,1329.0,1628.0,2111.0,45103,69,580.7094116210938,207.60794067382812,226.51,539.0,1170.0,270.3817138671875,214.5260009765625,1.4465738248102165,321.16839599609375,299.96002197265625,0.8652520223133576,184.7433319091797,266.8728942871094,1.4837253546099087
IOG26,raw_T1,0.87890625,0.87890625,3.5999999046325684,0.0,1512.0,0.0,0.0,0.0,0.0,14.0,899.0,1061.0,1112.0,1221.0,4332,31,887.4849853515625,188.3227996826172,216.655,935.0,1175.3450000000003,543.0346069335938,341.2396240234375,1.0094090901773785,402.79583740234375,312.90716552734375,1.5489870522216074,166.16046142578125,277.9565734863281,2.595097913600022
IOG27,raw_T1,0.9151785969734192,0.9151785969734192,6.25,0.0,1425.0,0.0,0.0,0.0,1.0,7.0,439.0,609.0,694.0,878.0,11484,54,504.32855224609375,75.71276092529297,267.415,496.0,699.0,195.25379943847656,137.85682678222656,2.2419981659367862,248.98597717285156,169.4122314453125,1.5072263253652298,77.16116333007812,144.00027465820312,2.9664345427807945
IOG28,raw_T1,0.3125,0.3125,4.400000095367432,0.0,4526.55224609375,0.0,0.0,0.0,0.0,391.72088623046875,1729.111328125,1879.4688720703125,1942.77734375,2108.9619140625,80445,143,1552.051513671875,281.721923828125,629.1275024414062,1669.759765625,1887.3824462890625,723.4628295898438,412.7023010253906,2.007715203000659,857.0653686523438,544.619873046875,1.2760939866763077,555.6622314453125,595.2957153320312,1.6737719700717448
IOG29,raw_T1,1.0044642686843872,1.0044642686843872,5.0,0.0,2242.0,0.0,0.0,0.0,0.0,7.0,750.0,1180.0,1356.0,1676.0,2073,29,1046.798828125,228.39036560058594,451.36,1044.0,1564.6399999999999,716.825439453125,421.2214660644531,0.783372679827728,467.660400390625,320.5155029296875,1.8068967723580673,138.4539031982422,270.5525817871094,3.3573692733840192
IOG31,raw_T1,0.22727273404598236,0.22727273404598236,3.299999952316284,0.0,2798.904296875,0.0,0.0,0.0,0.0,47.97264862060547,1479.6563720703125,1926.401611328125,2043.3349609375,2251.71630859375,36466,109,1496.718994140625,237.37548828125,812.5367431640625,1520.13330078125,1998.360595703125,1041.58447265625,597.6791381835938,0.7615031082857836,506.07135009765625,590.7572631835938,1.6769114927243784,227.59263610839844,450.2110900878906,2.8189584529880563
IOG33,raw_T1,0.9375,0.9375,7.0,0.0,3427.0,0.0,0.0,0.0,2.0,190.0,1116.0,1747.0,1988.0,2466.0,52775,78,393.8631591796875,79.44015502929688,234.0,378.0,617.0,194.72943115234375,97.51163482666016,2.0421535171811067,411.8919372558594,382.00177001953125,-0.04719553544280721,305.6268005371094,372.6632995605469,0.2367723324154229
IOG35,raw_T1,0.3710939884185791,0.3710939884185791,5.0,0.0,3252.0,1.0,1.0,2.0,19.0,196.0,1491.0,1867.0,2020.0,2408.0,9221,53,1413.0419921875,151.70233154296875,864.0,1425.0,1763.8999999999996,837.0460205078125,414.6531066894531,1.3891032344563359,443.0664367675781,444.1273193359375,2.184003354871834,410.9516296386719,441.5732727050781,2.2693637149051664
IOG36,raw_T1,0.78125,0.78125,3.75,0.0,2782.0,0.0,0.0,0.0,3.0,12.0,694.0,1237.0,1444.0,1950.0,14985,54,977.4850463867188,147.0258331298828,336.84000000000003,1001.0,1291.0,375.6425476074219,286.08709716796875,2.103703748743133,613.3492431640625,390.11273193359375,0.9334117382373478,99.40079498291016,258.8661193847656,3.3920400765102374
IOG38,raw_T1,1.25,1.25,5.599999904632568,0.0,1098.0,0.0,0.0,0.0,0.0,5.0,435.0,585.0,651.0,793.0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,240.2885284423828,153.5984344482422,nan,92.21662902832031,148.46514892578125,nan
IOG39,raw_T1,0.6875,0.6875,5.0,0.0,1888.0,0.0,0.0,0.0,2.0,20.0,916.0,1130.0,1212.0,1358.0,114644,134,749.025390625,98.77978515625,356.0,757.0,969.0,385.1728820800781,223.7098846435547,1.6264480629662907,554.1935424804688,298.0066833496094,0.6537834855064724,221.8576202392578,321.7319641113281,1.638530917628463
IOG4,raw_T1,0.3125,0.3125,3.9000000953674316,0.0,1623.0,0.0,0.0,0.0,2.0,18.0,858.0,1077.0,1142.0,1273.0,6085,49,658.9940795898438,73.89578247070312,405.0,670.0,813.5799999999999,372.5572204589844,189.5643310546875,1.5110271934450847,498.7663269042969,285.5804443359375,0.5610599600337682,237.09336853027344,313.3531799316406,1.346406349383816
IOG40,raw_T1,0.8333333134651184,0.8333333134651184,5.5,0.0,3025.369873046875,0.0,0.0,0.0,0.0,3.68498158454895,1525.5823974609375,1798.27099609375,1914.347900390625,2207.303955078125,4508,41,903.8966064453125,278.351806640625,212.87217277526855,945.19775390625,1405.8204345703125,694.7836303710938,311.9130859375,0.6704206572343683,960.4799194335938,501.8381042480469,-0.11275212565427961,349.60498046875,550.1035766601562,1.0076132013935142
IOG41,raw_T1,0.9151785969734192,0.9151785969734192,6.25,0.0,2712.0,0.0,0.0,0.0,0.0,22.0,761.0,1272.0,1473.0,1893.0,67721,98,570.9630126953125,109.79412078857422,268.0,556.0,907.0,338.3341064453125,205.4724884033203,1.1321657125861764,415.12493896484375,290.631591796875,0.5362048659850625,201.23828125,285.2234191894531,1.2962635834602745
IOG42,raw_T1,0.9151785969734192,0.9151785969734192,3.299999952316284,0.0,1884.0,0.0,0.0,0.0,2.0,9.0,504.0,818.0,902.0,1113.0,13833,38,712.685302734375,109.47569274902344,267.0,729.0,932.0,307.616943359375,220.90902709960938,1.8336433087107478,385.2843933105469,250.6550750732422,1.3061810511044334,70.3953857421875,171.9319610595703,3.73572146233852
IOG43,raw_T1,0.5468999743461609,0.5468999743461609,6.0,0.0,5265.0,0.0,0.0,0.0,0.0,60.0,1697.0,2254.0,2461.0,3023.0,14336,88,2017.4542236328125,216.4529571533203,1164.8,2036.0,2458.0,1372.984619140625,680.5567626953125,0.9469740656749871,807.3660888671875,644.3656005859375,1.8779527238345157,324.8841247558594,540.064697265625,3.1340135866064225
IOG44,raw_T1,0.7813000082969666,0.7813000082969666,7.199999809265137,0.0,1917.0,0.0,0.0,0.0,0.0,14.0,955.0,1176.0,1215.0,1299.0,32588,100,886.24951171875,73.89469146728516,664.87,884.0,1092.0649999999987,677.8660278320312,263.0428466796875,0.7922035764024081,540.9085693359375,318.2710876464844,1.0850528237940218,181.447509765625,308.1382141113281,2.287291772576072
IOG45,raw_T1,1.0677083730697632,1.0677083730697632,5.0,0.0,2510.0,0.0,0.0,0.0,1.0,8.0,981.0,1499.0,1678.0,1978.0,405,20,630.2691650390625,100.48323059082031,327.08,647.0,850.8600000000001,313.0008239746094,138.79193115234375,2.28592785207525,584.13232421875,391.2151794433594,0.11793213363029093,197.33151245117188,353.2796325683594,1.2254814958915512
IOG46,raw_T1,0.9151785969734192,0.9151785969734192,4.599999904632568,0.0,3451.0,0.0,0.0,0.0,4.0,165.0,1005.0,1695.0,1935.0,2377.0,29566,56,530.5593872070312,100.73331451416016,189.82500000000002,533.0,731.0,357.33599853515625,181.512451171875,0.9543333669592118,471.6838684082031,375.305419921875,0.15687361725573767,284.7168273925781,366.843505859375,0.6701564996728984
IOG47,raw_T1,0.3905999958515167,0.3905999958515167,5.0,-32768.0,-29681.0,-32768.0,-32768.0,-32768.0,-32768.0,-32713.0,-31218.0,-30906.0,-30750.0,-30410.0,70592,136,-31621.548828125,162.06097412109375,-32161.0,-31594.0,-31303.0,-32128.931640625,341.3089904785156,1.486579101794678,nan,nan,nan,-32423.494140625,507.5727844238281,1.5799612136618577
IOG48,raw_T1,0.9151785969734192,0.9151785969734192,5.0,0.0,2466.0,0.0,0.0,0.0,2.0,25.0,870.0,1350.0,1522.0,1814.0,8661,33,357.90911865234375,103.2021713256836,186.3,338.0,670.7000000000007,449.084228515625,237.80657958984375,-0.38340028278668853,428.72003173828125,330.6955871582031,-0.2141271786976157,214.03713989257812,312.31304931640625,0.4606659218200263
IOG49,raw_T1,0.8482142686843872,0.8482142686843872,6.25,0.0,3005.0,0.0,0.0,0.0,2.0,9.0,661.0,1176.0,1441.0,1946.0,147760,126,965.9791870117188,308.5367736816406,488.0,889.0,2013.0,510.446533203125,372.0903625488281,1.2242527613136334,432.7297668457031,291.0540771484375,1.8321317653078557,87.88355255126953,207.55059814453125,4.230754535570998
IOG5,raw_T1,1.0044642686843872,1.0044642686843872,4.375,0.0,1968.0,0.0,0.0,0.0,1.0,6.0,642.0,989.0,1125.0,1360.0,35939,66,558.5513305664062,89.83942413330078,235.69,573.0,760.0,302.0330505371094,191.273193359375,1.341109412793332,484.4526672363281,308.23016357421875,0.24040042827358105,78.64537811279297,209.8423309326172,2.2869835191056693
IOG50,raw_T1,0.9672619104385376,0.9672619104385376,7.199999809265137,0.0,7004.384765625,0.0,0.0,0.0,0.0,14.25103759765625,3028.345458984375,3448.7509765625,3626.88916015625,4068.671142578125,98997,113,2542.578125,383.0065612792969,1196.9446484375,2586.563232421875,3498.629638671875,2148.481201171875,516.32666015625,0.7632705305375167,2193.328125,889.1702880859375,0.39278190542309854,625.5348510742188,1085.2921142578125,1.7663845970508778
IOG51,raw_T1,1.0677083730697632,1.0677083730697632,5.0,0.0,2725.0,0.0,0.0,0.0,1.0,11.0,758.0,1316.0,1519.0,1879.0,12093,42,576.8475341796875,75.09491729736328,259.0,584.0,763.0,211.11636352539062,110.70480346679688,3.303661261310931,379.0508728027344,321.93359375,0.6144020543893709,161.5545196533203,276.8100891113281,1.5002813512311817
IOG53,raw_T1,0.3035714328289032,0.3035714328289032,6.599999904632568,0.0,2412.462890625,0.0,0.0,0.0,0.0,27.072526931762695,1645.4080810546875,1831.90771484375,1880.03662109375,2036.4556884765625,267190,166,1650.4283447265625,187.10867309570312,818.19189453125,1699.5531005859375,1904.10107421875,774.9259033203125,472.6259765625,1.852421332771314,770.5900268554688,555.244384765625,1.5845965164375027,339.0386962890625,526.7116088867188,2.4897678849519034
IOG54,raw_T1,0.390625,0.390625,3.9600000381469727,0.0,2125.0,0.0,0.0,0.0,17.0,50.0,1069.0,1388.0,1492.0,1691.0,40892,119,1079.6842041015625,135.7609100341797,566.455,1086.0,1409.0,671.8995361328125,355.63726806640625,1.1466308640426475,293.11114501953125,384.5770568847656,2.0452937714319224,189.0644073486328,326.2264709472656,2.7300660003672665
IOG55,raw_T1,1.1979166269302368,1.1979166269302368,6.25,0.0,2970.0,0.0,0.0,0.0,0.0,6.0,958.0,1467.0,1667.0,2053.0,99377,103,485.73272705078125,93.06464385986328,219.0,480.0,744.0,303.9503479003906,191.39378356933594,0.9497820449562124,538.0209350585938,364.172607421875,-0.14358083760879722,220.18966674804688,349.9794006347656,0.7587391138481661
IOG56,raw_T1,0.53125,0.53125,3.5999999046325684,0.0,2044.0,0.0,0.0,0.0,2.0,21.0,964.0,1178.0,1261.0,1425.0,125463,138,870.3296508789062,72.78491973876953,529.0,875.0,1055.0,449.81243896484375,255.83607482910156,1.6436978725340743,551.9122924804688,316.4500427246094,1.006216828592879,245.99026489257812,340.6901550292969,1.832572432075824
IOG6,raw_T1,0.87890625,0.87890625,6.0,0.0,4095.0,0.0,0.0,0.0,0.0,268.0,853.0,1015.0,1161.0,1904.0,107181,121,813.4681396484375,72.21073150634766,527.0,825.0,944.0,564.4826049804688,190.66209411621094,1.3058995067798267,545.9419555664062,252.27915954589844,1.0604371148357137,326.0589904785156,328.971923828125,1.4816132133652054
IOG7,raw_T1,0.5208333134651184,0.5208333134651184,3.5999999046325684,0.0,3442.0,0.0,0.0,5.0,13.0,356.0,1037.0,1198.0,1331.0,1853.0,144485,122,886.1559448242188,93.37347412109375,465.41999999999996,900.0,1121.0,642.8430786132812,276.25433349609375,0.880756740108759,563.7439575195312,323.6717834472656,0.9961077974448045,444.74945068359375,362.72674560546875,1.216911902660563
IOG9,raw_T1,0.78125,0.78125,5.400000095367432,0.0,4095.0,0.0,0.0,0.0,0.0,98.0,595.0,735.0,835.0,1306.0,50547,128,572.9475708007812,63.05106735229492,317.0,585.0,687.0,365.5953063964844,150.37290954589844,1.3789203456291879,344.337646484375,202.79360961914062,1.1273033935623036,182.84686279296875,220.47425842285156,1.7693707682628024
